Order Id,Time Of Order,Item Ordered,Quantity,Amount,Location,Delivery Time
1,9/5/2023,E,14,280,East-Legon,56
2,31/10/2023,B,7,140,Kaneshie,495
3,17/05/2023,B,1,20,Kaneshie,139
4,6/4/2023,A,4,80,Accra,316
5,19/11/2023,B,15,300,Kaneshie,293
6,14/02/2023,E,18,360,East-Legon,409
7,13/08/2023,B,12,240,Accra,431
8,1/3/2023,D,18,360,Accra,223
9,3/11/2023,C,19,380,Accra,260
10,28/07/2023,B,18,360,Accra,404
11,7/7/2023,D,19,380,Dansoman,127
12,12/3/2023,A,3,60,East-Legon,169
13,12/1/2023,C,10,200,Kaneshie,288
14,5/5/2023,C,1,20,Kaneshie,181
15,9/9/2023,D,20,400,Kaneshie,88
16,27/11/2023,B,5,100,Kaneshie,228
17,1/9/2023,A,16,320,East-Legon,148
18,6/1/2023,A,1,20,Dansoman,281
19,6/5/2023,D,16,320,East-Legon,414
20,24/10/2023,C,13,260,Kaneshie,74
21,20/03/2023,C,14,280,Accra,85
22,13/12/2023,E,12,240,Accra,430
23,5/4/2023,A,15,300,Accra,242
24,30/01/2023,D,10,200,Accra,316
25,25/11/2023,C,9,180,Dansoman,172
26,11/11/2023,B,7,140,Malllam,265
27,2/2/2023,E,9,180,Dansoman,146
28,8/5/2023,A,18,360,Accra,280
29,10/5/2023,A,10,200,East-Legon,105
30,10/7/2023,C,16,320,Accra,496
31,5/8/2023,E,19,380,Accra,122
32,12/5/2023,E,18,360,East-Legon,74
33,27/10/2023,C,6,120,Malllam,472
34,24/06/2023,C,1,20,Kaneshie,255
35,24/02/2023,C,8,160,Dansoman,329
36,3/12/2023,D,14,280,Malllam,78
37,7/4/2023,C,15,300,East-Legon,448
38,19/08/2023,B,19,380,Malllam,107
39,24/08/2023,C,14,280,Kaneshie,329
40,16/03/2023,D,14,280,Dansoman,126
41,1/7/2023,A,2,40,Malllam,183
42,9/4/2023,D,1,20,Dansoman,169
43,21/03/2023,B,13,260,Malllam,285
44,8/8/2023,A,14,280,Malllam,416
45,18/12/2023,B,1,20,Accra,128
46,5/11/2023,A,7,140,East-Legon,227
47,17/07/2023,C,17,340,Dansoman,315
48,19/12/2023,A,7,140,Malllam,461
49,13/03/2023,E,11,220,East-Legon,402
50,24/09/2023,E,6,120,Accra,465
51,9/10/2023,C,20,400,Accra,205
52,8/1/2023,A,6,120,Dansoman,63
53,11/8/2023,A,14,280,Accra,248
54,16/04/2023,A,13,260,Malllam,73
55,26/10/2023,A,8,160,Kaneshie,410
56,10/4/2023,C,15,300,Dansoman,328
57,13/09/2023,B,6,120,Dansoman,460
58,18/07/2023,D,6,120,Kaneshie,185
59,18/09/2023,D,17,340,Dansoman,140
60,3/8/2023,D,8,160,Accra,82
61,19/06/2023,D,18,360,Kaneshie,313
62,15/03/2023,D,3,60,Accra,287
63,18/03/2023,C,1,20,Kaneshie,405
64,2/5/2023,C,8,160,Kaneshie,336
65,29/05/2023,B,19,380,Dansoman,436
66,19/10/2023,E,15,300,Malllam,231
67,25/03/2023,B,16,320,Kaneshie,448
68,5/3/2023,D,8,160,Kaneshie,312
69,4/11/2023,B,19,380,Malllam,83
70,29/04/2023,A,20,400,Malllam,361
71,13/09/2023,E,18,360,Accra,31
72,20/11/2023,D,10,200,Kaneshie,307
73,9/2/2023,D,3,60,Malllam,84
74,4/8/2023,A,7,140,East-Legon,82
75,6/7/2023,B,12,240,Dansoman,197
76,26/12/2023,A,17,340,Kaneshie,178
77,29/03/2023,D,11,220,Accra,335
78,26/10/2023,D,4,80,Malllam,493
79,20/04/2023,A,17,340,East-Legon,356
80,26/09/2023,A,12,240,East-Legon,362
81,8/5/2023,D,13,260,East-Legon,499
82,17/08/2023,D,14,280,Accra,482
83,13/02/2023,A,12,240,East-Legon,189
84,12/3/2023,B,2,40,Accra,101
85,15/12/2023,D,9,180,Malllam,277
86,2/2/2023,B,1,20,Accra,360
87,21/03/2023,A,6,120,Malllam,183
88,15/04/2023,E,6,120,East-Legon,287
89,25/02/2023,D,16,320,Malllam,316
90,26/11/2023,A,1,20,Kaneshie,243
91,15/04/2023,B,10,200,East-Legon,224
92,25/01/2023,D,9,180,Kaneshie,444
93,10/4/2023,B,14,280,Malllam,371
94,20/12/2023,D,7,140,East-Legon,326
95,19/06/2023,C,20,400,Kaneshie,367
96,31/05/2023,D,17,340,Dansoman,275
97,5/5/2023,E,14,280,Malllam,259
98,3/2/2023,B,11,220,East-Legon,303
99,12/12/2023,B,12,240,East-Legon,149
100,2/5/2023,B,11,220,Dansoman,268
101,5/10/2023,A,5,100,Kaneshie,408
102,25/03/2023,D,18,360,Dansoman,166
103,15/09/2023,E,20,400,Accra,484
104,27/02/2023,D,18,360,East-Legon,315
105,6/9/2023,C,7,140,Kaneshie,260
106,12/1/2023,D,18,360,East-Legon,96
107,28/03/2023,A,14,280,Malllam,243
108,20/12/2023,D,18,360,Malllam,185
109,8/10/2023,B,6,120,Kaneshie,45
110,13/07/2023,C,9,180,Dansoman,410
111,31/03/2023,C,9,180,Kaneshie,368
112,10/5/2023,A,18,360,Kaneshie,314
113,22/01/2023,A,1,20,Kaneshie,496
114,16/03/2023,E,20,400,Dansoman,260
115,3/3/2023,A,11,220,Accra,369
116,11/5/2023,A,20,400,Dansoman,42
117,27/12/2023,E,11,220,Kaneshie,365
118,30/07/2023,B,16,320,Malllam,100
119,1/6/2023,B,6,120,Malllam,130
120,9/3/2023,D,11,220,Dansoman,302
121,16/08/2023,A,19,380,Accra,37
122,6/2/2023,C,3,60,Malllam,228
123,16/05/2023,A,3,60,Kaneshie,457
124,5/7/2023,D,9,180,East-Legon,204
125,28/03/2023,B,1,20,Accra,103
126,19/07/2023,B,11,220,Dansoman,437
127,18/12/2023,A,4,80,Kaneshie,102
128,26/11/2023,D,9,180,East-Legon,56
129,9/10/2023,D,13,260,Malllam,216
130,28/10/2023,E,7,140,Dansoman,481
131,14/08/2023,C,2,40,Dansoman,155
132,21/05/2023,E,5,100,Malllam,376
133,26/01/2023,C,1,20,East-Legon,47
134,28/10/2023,C,3,60,Accra,96
135,5/8/2023,D,9,180,Accra,424
136,4/11/2023,B,4,80,Accra,320
137,19/08/2023,E,14,280,Kaneshie,337
138,13/03/2023,B,19,380,Malllam,106
139,15/04/2023,E,1,20,East-Legon,482
140,2/9/2023,E,5,100,Dansoman,70
141,13/12/2023,D,17,340,Malllam,175
142,20/09/2023,C,15,300,Kaneshie,41
143,3/12/2023,D,2,40,Malllam,235
144,17/06/2023,B,3,60,Accra,273
145,12/8/2023,C,4,80,Accra,220
146,25/08/2023,B,12,240,Kaneshie,350
147,22/08/2023,A,14,280,Dansoman,275
148,28/03/2023,C,12,240,Malllam,159
149,4/8/2023,E,17,340,Malllam,346
150,2/12/2023,B,10,200,Kaneshie,456
151,5/8/2023,A,8,160,East-Legon,486
152,12/10/2023,E,8,160,East-Legon,191
153,7/12/2023,E,4,80,Malllam,347
154,15/05/2023,C,7,140,East-Legon,38
155,26/11/2023,A,17,340,Malllam,472
156,26/03/2023,B,1,20,Kaneshie,350
157,14/11/2023,A,3,60,Accra,386
158,20/04/2023,A,11,220,East-Legon,49
159,4/10/2023,A,17,340,Kaneshie,115
160,25/03/2023,C,12,240,Accra,463
161,10/11/2023,D,8,160,East-Legon,484
162,21/04/2023,A,14,280,Malllam,457
163,20/02/2023,D,9,180,Kaneshie,395
164,31/03/2023,D,17,340,Malllam,317
165,10/6/2023,A,15,300,Malllam,365
166,6/7/2023,A,3,60,Dansoman,482
167,23/09/2023,B,20,400,Kaneshie,39
168,7/11/2023,D,10,200,Accra,438
169,21/02/2023,D,1,20,Accra,427
170,31/01/2023,B,1,20,Accra,489
171,7/12/2023,E,3,60,Dansoman,264
172,27/02/2023,E,4,80,East-Legon,452
173,7/4/2023,A,6,120,Accra,500
174,13/03/2023,A,15,300,Kaneshie,106
175,14/06/2023,D,14,280,Kaneshie,352
176,30/10/2023,E,2,40,Dansoman,484
177,23/03/2023,C,16,320,Accra,341
178,23/03/2023,B,18,360,Dansoman,240
179,27/11/2023,B,12,240,Accra,446
